City,Flag URL,Country,Name,Service opened,Last expanded,Stations,Lines,System length( km),Annual ridership (millions)
Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/188px-Flag_of_Algeria.svg.png,Algeria,Algiers Metro,2011,2018,19,1,18.5,45.30
Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/188px-Flag_of_Argentina.svg.png,Argentina,Buenos Aires Underground,1913,2019,78,7,56.7,236.00
Yerevan,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/188px-Flag_of_Armenia.svg.png,Armenia,Yerevan Metro,1981,1996,10,1,12.1,23.30
Sydney,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/188px-Flag_of_Australia_%28converted%29.svg.png,Australia,Sydney Metro,2019,2024,21,1,52,39.70
Vienna,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/188px-Flag_of_Austria.svg.png,Austria,Vienna U-Bahn,1978,2017,98,5,83.3,459.80
Baku,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/188px-Flag_of_Azerbaijan.svg.png,Azerbaijan,Baku Metro,1967,2022,27,3,40.7,202.50
Dhaka,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/188px-Flag_of_Bangladesh.svg.png,Bangladesh,Dhaka Metro Rail,2022,2023,16,1,20.1,100.38
Minsk,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/188px-Flag_of_Belarus.svg.png,Belarus,Minsk Metro,1984,2024,36,3,45.0,234.00
Brussels,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Belgium.svg/188px-Flag_of_Belgium.svg.png,Belgium,Brussels Metro,1976,2009,59,4,39.9,129.20
Belo Horizonte,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,Belo Horizonte Metro,1986,2002,19,1,28.1,54.40
Brasília,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,Federal District Metro,2001,2020,27,2,42.4,39.10
Fortaleza,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,Fortaleza Metro,2012,2013,20,2,24.1,8.90
Porto Alegre,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,Porto Alegre Metro,1985,2014,22,1,43.8,31.90
Recife,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,Recife Metro,1985,2009,28,3,39.5,93.50
Rio de Janeiro,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,Rio de Janeiro Metro,1979,2016,41,3,58,118.70
Salvador,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,Salvador Metro,2014,2023,20,2,34,62.00
São Paulo,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,São Paulo Metro,1974,2021,89,6,104.4,1196.50
Sofia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/188px-Flag_of_Bulgaria.svg.png,Bulgaria,Sofia Metro,1998,2021,47,4,52,92.40
Montreal,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/188px-Flag_of_Canada_%28Pantone%29.svg.png,Canada,Montreal Metro,1966,2007,68,4,69.2,304.00
Montreal,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/188px-Flag_of_Canada_%28Pantone%29.svg.png,Canada,Réseau express métropolitain,2023,–,5,1,16.6,
Toronto,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/188px-Flag_of_Canada_%28Pantone%29.svg.png,Canada,Toronto subway,1954,2017,70,3,70.5,302.50
Vancouver,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/188px-Flag_of_Canada_%28Pantone%29.svg.png,Canada,SkyTrain,1985,2024,54,3,79.6,141.30
Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/188px-Flag_of_Chile.svg.png,Chile,Santiago Metro,1975,2023,126,7,149,544.40
Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Beijing Subway,1971,2024,414,29,861,3445.70
Changchun,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Changchun Rail Transit,2017,2024,83,3,72.6,219.10
Changsha,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Changsha Metro,2014,2024,140,6,218.28,943.90
Changzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Changzhou Metro,2019,2021,43,2,54,73.10
Chengdu,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Chengdu Metro,2010,2024,296,13,632.84,2109.20
Chongqing,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Chongqing Rail Transit,2004,2025,263,12,560.04,1456.94
Dalian,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Dalian Metro,2003,2023,100,6,237.7,252.00
Dongguan,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Dongguan Rail Transit,2016,–,15,1,37.7,45.30
Foshan,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Foshan Metro,2010,2024,74,3,134.9,67.90
Fuzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Fuzhou Metro,2016,2023,90,5,143.5,227.80
Guangzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Guangzhou Metro,1997,2024,276,15,705.28,3128.90
Guiyang,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Guiyang Metro,2017,2024,82,3,149.05,133.50
Hangzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Hangzhou Metro,2012,2025,254,12,516.2,1469.76
Harbin,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Harbin Metro,2013,2024,78,3,91.57,281.30
Hefei,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Hefei Metro,2016,2024,184,6,238.92,411.00
Hohhot,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Hohhot Metro,2019,2020,43,2,49,67.70
Hong Kong,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Mass Transit Railway,1979,2022,99,10,174.7,1770.00
Jinan,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Jinan Metro,2019,2024,46,3,96.3,96.20
Jinhua,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Jinhua Rail Transit,2022,2023,32,2,118.5,37.00
Kunming,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Kunming Metro,2012,2022,103,6,165.85,292.00
Lanzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Lanzhou Metro,2019,2023,27,2,35,105.60
Luoyang,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Luoyang Subway,2021,2021,33,2,43.6,57.20
Macau,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Macau Light Rapid Transit,2019,2024,15,3,16.3,2.47
Nanchang,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Nanchang Metro,2015,2021,94,4,128.3,380.50
Nanjing,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Nanjing Metro,2005,2024,212,14,521,1010.00
Nanning,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Nanning Metro,2016,2021,93,5,128.2,350.00
Nantong,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Nantong Rail Transit,2022,2023,43,2,60,21.10
Ningbo,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Ningbo Rail Transit,2014,2025,122,5,194.56,367.40
Qingdao,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Qingdao Metro,2015,2024,172,8,352.68,470.00
Shanghai,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Shanghai Metro,1993,2024,413,20,896,3647.60
Shaoxing,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Shaoxing Metro,2021,2024,38,2,61.9,38.40
Shenyang,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Shenyang Metro,2010,2024,124,6,186.7,500.90
Shenzhen,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Shenzhen Metro,2004,2024,319,16,583.35,2705.30
Shijiazhuang,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Shijiazhuang Metro,2017,2021,60,3,76.5,173.20
Suzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Suzhou Rail Transit,2012,2024,204,7,346.76,523.80
Taiyuan,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Taiyuan Metro,2020,–,23,1,23.7,43.80
Taizhou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Taizhou Rail Transit,2022,–,15,1,52.4,10.10
Tianjin,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Tianjin Metro,1984,2024,204,11,325.54,571.30
Ürümqi,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Ürümqi Metro,2018,2019,21,1,27.6,39.30
Wenzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Wenzhou Rail Transit,2019,2023,36,2,116.5,22.10
Wuhan,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Wuhan Metro,2004,2024,312,12,518.1,1455.61
Wuhu,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Wuhu Rail Transit,2021,2021,36,2,46.2,33.10
Wuxi,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Wuxi Metro,2014,2024,89,5,145.2,184.60
Xiamen,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Xiamen Metro,2017,2023,70,3,98.4,246.40
Xi'an,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Xi'an Metro,2011,2024,232,12,402.3,1399.02
Xuzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Xuzhou Metro,2019,2024,54,3,72.48,94.00
Zhengzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Zhengzhou Metro,2013,2024,233,13,449.81,583.20
Medellín,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/188px-Flag_of_Colombia.svg.png,Colombia,Medellín Metro,1995,2012,27,2,31.3,224.10
Prague,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/188px-Flag_of_the_Czech_Republic.svg.png,Czech Republic,Prague Metro,1974,2015,58,3,65.4,361.00
Copenhagen,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/180px-Flag_of_Denmark.svg.png,Denmark,Copenhagen Metro,2002,2024,44,4,43.3,120.00
Santo Domingo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/188px-Flag_of_the_Dominican_Republic.svg.png,Dominican Republic,Santo Domingo Metro,2009,2018,33,2,31,49.60
Quito,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/188px-Flag_of_Ecuador.svg.png,Ecuador,Quito Metro,2023,–,15,1,22.6,
Cairo,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/188px-Flag_of_Egypt.svg.png,Egypt,Cairo Metro,1987,2024,84,3,106.8,795.80
Helsinki,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/188px-Flag_of_Finland.svg.png,Finland,Helsinki Metro,1982,2022,30,2,43,79.00
Lille,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/188px-Flag_of_France.svg.png,France,Lille Metro,1983,2000,60,2,45,122.87
Lyon,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/188px-Flag_of_France.svg.png,France,Lyon Metro,1978,2023,42,4,34.4,208.21
Marseille,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/188px-Flag_of_France.svg.png,France,Marseille Metro,1977,2019,29,2,22.7,71.30
Paris,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/188px-Flag_of_France.svg.png,France,Paris Métro,1900,2025,321,16,245.6,1411.46
Rennes,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/188px-Flag_of_France.svg.png,France,Rennes Metro,2002,2022,28,2,22.4,59.40
Toulouse,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/188px-Flag_of_France.svg.png,France,Toulouse Metro,1993,2007,37,2,28.2,112.90
Tbilisi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/188px-Flag_of_Georgia.svg.png,Georgia,Tbilisi Metro,1966,2017,23,2,27.3,152.90
Berlin,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/188px-Flag_of_Germany.svg.png,Germany,Berlin U-Bahn,1902,2021,175,9,155.6,492.10
Hamburg,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/188px-Flag_of_Germany.svg.png,Germany,Hamburg U-Bahn,1912,2019,93,4,106,195.80
Munich,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/188px-Flag_of_Germany.svg.png,Germany,Munich U-Bahn,1971,2010,96,8,95,254.00
Nuremberg,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/188px-Flag_of_Germany.svg.png,Germany,Nuremberg U-Bahn,1972,2020,49,3,38.4,109.80
Athens,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/188px-Flag_of_Greece.svg.png,Greece,Athens Metro,1904,2022,66,3,91.7,259.20
Thessaloniki,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/188px-Flag_of_Greece.svg.png,Greece,Thessaloniki Metro,2024,–,13,1,9.6,
Budapest,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/188px-Flag_of_Hungary.svg.png,Hungary,Budapest Metro,1896,2014,48,4,39.2,382.60
Agra,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Agra Metro,2024,–,6,1,5.2,
Ahmedabad,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Ahmedabad Metro,2019,2024,38,2,58.66,29.35
Bangalore,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Namma Metro,2011,2024,69,2,76.95,232.80
Chennai,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Chennai Metro,2015,2022,42,2,54.1,91.10
,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Chennai MRTS,1995,2007,18,1,19.34,36.50
Delhi,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Delhi Metro,2002,2023,231,10,353,2032.00
Gurgaon,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Rapid Metro Gurgaon,2013,2017,11,1,12.854,14.60
Hyderabad,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Hyderabad Metro,2017,2020,57,3,71.16,162.06
Jaipur,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Jaipur Metro,2015,2020,11,1,11.979,18.12
Kanpur,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Kanpur Metro,2021,–,9,1,8.98,
Kochi,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Kochi Metro,2017,2024,25,1,28.125,31.17
Kolkata,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Kolkata Metro,1984,2024,48,4,59.38,192.50
Lucknow,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Lucknow Metro,2017,2019,21,1,22.878,26.82
Mumbai,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Mumbai Metro,2014,2024,53,4,59.09,195.40
Nagpur,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Nagpur Metro,2019,2022,36,2,38.215,27.38
Navi Mumbai,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Navi Mumbai Metro,2023,–,11,1,11.10,0.94
Noida,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Noida Metro,2019,–,21,1,29.168,16.7 (2023)
Pune,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/188px-Flag_of_India.svg.png,India,Pune Metro,2022,2024,28,2,32.97,45.72
Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/188px-Flag_of_Indonesia.svg.png,Indonesia,Jakarta MRT,2019,–,13,1,15.7,33.00
